"Tarih","Endeks","Kapanýþ"
"2019-12-11","Hizmet",82979.34
"2019-12-12","Hizmet",84365.1
"2019-12-13","Hizmet",84122.14
"2019-12-16","Hizmet",84811.17
"2019-12-17","Hizmet",84882.73
"2019-12-18","Hizmet",84871.52
"2019-12-19","Hizmet",85316.8
"2019-12-20","Hizmet",85068.76
"2019-12-23","Hizmet",85650.72
"2019-12-24","Hizmet",86540.31
"2019-12-25","Hizmet",86579.2
"2019-12-26","Hizmet",86989.38
"2019-12-27","Hizmet",86904.95
"2019-12-30","Hizmet",87330
"2019-12-31","Hizmet",87309.07
"2020-01-02","Hizmet",88294.3
"2020-01-03","Hizmet",86861.76
"2020-01-06","Hizmet",84948.08
"2020-01-07","Hizmet",86062.54
"2020-01-08","Hizmet",85707.57
"2020-01-09","Hizmet",89169.12
"2020-01-10","Hizmet",89343.13
"2020-01-13","Hizmet",90469.54
"2020-01-14","Hizmet",91723.72
"2020-01-15","Hizmet",91464.61
"2020-01-16","Hizmet",91235.78
"2020-01-17","Hizmet",91352.23
"2020-01-20","Hizmet",91902.1
"2020-01-21","Hizmet",92976.21
"2020-01-22","Hizmet",92645.73
"2020-01-23","Hizmet",93148.28
"2020-01-24","Hizmet",92962.03
"2020-01-27","Hizmet",91350.91
"2020-01-28","Hizmet",91016.75
"2020-01-29","Hizmet",91322.47
"2020-01-30","Hizmet",90422.28
"2020-01-31","Hizmet",90098.16
"2020-02-03","Hizmet",90620.93
"2020-02-04","Hizmet",92703.19
"2020-02-05","Hizmet",92650.84
"2020-02-06","Hizmet",92459.41
"2020-02-07","Hizmet",91802.4
"2020-02-10","Hizmet",89812.79
"2020-02-11","Hizmet",90977.28
"2020-02-12","Hizmet",92038.35
"2020-02-13","Hizmet",92525.14
"2020-02-14","Hizmet",92251.76
"2020-02-17","Hizmet",93288.55
"2020-02-18","Hizmet",92632.98
"2020-02-19","Hizmet",93314.66
"2020-02-20","Hizmet",90519.87
"2020-02-21","Hizmet",91359.15
"2020-02-24","Hizmet",90075.16
"2020-02-25","Hizmet",89743.58
"2020-02-26","Hizmet",89742.27
"2020-02-27","Hizmet",86083.4
"2020-02-28","Hizmet",84401.37
"2020-03-02","Hizmet",84639.44
"2020-03-03","Hizmet",87382.68
"2020-03-04","Hizmet",87194.51
"2020-03-05","Hizmet",89498.73
"2020-03-06","Hizmet",88205.48
"2020-03-09","Hizmet",83583.67
"2020-03-10","Hizmet",80511.16
"2020-03-11","Hizmet",82335.47
"2020-03-12","Hizmet",75588.61
"2020-03-13","Hizmet",75770.25
"2020-03-16","Hizmet",70375.73
"2020-03-17","Hizmet",69153.16
"2020-03-18","Hizmet",70047
"2020-03-19","Hizmet",70527.86
"2020-03-20","Hizmet",71455.58
"2020-03-23","Hizmet",73165.04
"2020-03-24","Hizmet",75854.33
"2020-03-25","Hizmet",75656.84
"2020-03-26","Hizmet",77931.44
"2020-03-27","Hizmet",74721.58
"2020-03-30","Hizmet",74355.24
"2020-03-31","Hizmet",75798.57
"2020-04-01","Hizmet",75832.95
"2020-04-02","Hizmet",75719.07
"2020-04-03","Hizmet",75344.92
"2020-04-06","Hizmet",77042.77
"2020-04-07","Hizmet",77159.52
"2020-04-08","Hizmet",78641.56
"2020-04-09","Hizmet",79588.31
"2020-04-10","Hizmet",80405.83
"2020-04-13","Hizmet",81744.16
"2020-04-14","Hizmet",83083.99
"2020-04-15","Hizmet",82317.45
"2020-04-16","Hizmet",82045.16
"2020-04-17","Hizmet",83778.22
"2020-04-20","Hizmet",84664.57
"2020-04-21","Hizmet",83658.48
"2020-04-22","Hizmet",84431.24
"2020-04-24","Hizmet",85347.33
"2020-04-27","Hizmet",87211.01
"2020-04-28","Hizmet",87765.71
"2020-04-29","Hizmet",87614.95
"2020-04-30","Hizmet",86929.3
"2020-05-04","Hizmet",85210.31
"2020-05-05","Hizmet",84329.96
"2020-05-06","Hizmet",83619.02
"2020-05-07","Hizmet",83399.57
"2019-05-07","Mali",102374.06
"2019-05-08","Mali",102462.03
"2019-05-09","Mali",100581.13
"2019-05-10","Mali",100049.94
"2019-05-13","Mali",97073.72
"2019-05-14","Mali",99808.86
"2019-05-15","Mali",98679.96
"2019-05-16","Mali",98783.73
"2019-05-17","Mali",98455.75
"2019-05-20","Mali",98219.99
"2019-05-21","Mali",96202.34
"2019-05-22","Mali",93939.5
"2019-05-23","Mali",94478.46
"2019-05-24","Mali",97167.64
"2019-05-27","Mali",96637.23
"2019-05-28","Mali",97807.11
"2019-05-29","Mali",97728.48
"2019-05-30","Mali",101287.37
"2019-05-31","Mali",101923.13
"2019-06-03","Mali",101253.1
"2019-06-07","Mali",106281.17
"2019-06-10","Mali",106666.99
"2019-06-11","Mali",105304.81
"2019-06-12","Mali",104863.22
"2019-06-13","Mali",102244.16
"2019-06-14","Mali",102426.32
"2019-06-17","Mali",104767.1
"2019-06-18","Mali",107345.14
"2019-06-19","Mali",108386.55
"2019-06-20","Mali",108738.8
"2019-06-21","Mali",108949.07
"2019-06-24","Mali",111136.08
"2019-06-25","Mali",111523.85
"2019-06-26","Mali",110764.23
"2019-06-27","Mali",111014.05
"2019-06-28","Mali",112217.52
"2019-07-01","Mali",117267.8
"2019-07-02","Mali",117762.57
"2019-07-03","Mali",116633.52
"2019-07-04","Mali",116819.88
"2019-07-05","Mali",119085.24
"2019-07-08","Mali",117962.05
"2019-07-09","Mali",114505.38
"2019-07-10","Mali",117423.1
"2019-07-11","Mali",117021.32
"2019-07-12","Mali",113819.7
"2019-07-16","Mali",114391.87
"2019-07-17","Mali",116968.57
"2019-07-18","Mali",119508.25
"2019-07-19","Mali",119201.7
"2019-07-22","Mali",118188.28
"2019-07-23","Mali",120497.19
"2019-07-24","Mali",121190.47
"2019-07-25","Mali",119333.62
"2019-07-26","Mali",120395.72
"2019-07-29","Mali",120973.03
"2019-07-30","Mali",119539.05
"2019-07-31","Mali",119439.06
"2019-08-01","Mali",118592.95
"2019-08-02","Mali",116345.34
"2019-08-05","Mali",115120.71
"2019-08-06","Mali",116515.62
"2019-08-07","Mali",115010.81
"2019-08-08","Mali",115877.52
